,macrostate,P_up,P_down,term_1,term_2
0,0,0.1822261828,0.0,0.0,0.0
1,1,0.183031634,1e-10,-1.3814968296369836e-19,5.730434856375817e-41
2,2,0.1533151577,3e-10,-2.7629827329999485e-19,1.160082704364606e-40
3,3,0.1347416491,5e-10,-4.143180542266295e-19,1.760645302129334e-40
4,4,0.1219095874,4.1e-09,-5.524430260054334e-19,2.325930737608021e-40
5,5,0.1122988751,8e-10,-6.907229753127638e-19,2.888297793111499e-40
6,6,0.104683749,6e-10,-8.290208533010255e-19,3.460973177263943e-40
7,7,0.0986126531,2.2e-09,-9.66701830333933e-19,4.084837074592273e-40
8,8,0.0933177812,9.7e-09,-1.1048865981472293e-18,4.628327996754615e-40
9,9,0.0892159209,2e-09,-1.243538876879139e-18,5.140815669044169e-40
10,10,0.0854621419,1.5e-09,-1.3820806620239933e-18,5.8201119919061884e-40
11,11,0.0820987419,4.6e-09,-1.5210395426357628e-18,6.3904221031386e-40
12,12,0.0791629048,2e-09,-1.6577021388853056e-18,6.8811468307052245e-40
13,13,0.0765889079,2.7e-09,-1.7970726640686167e-18,7.711057253433443e-40
14,14,0.0742190474,1.5e-09,-1.9356996138272825e-18,7.786010508264044e-40
15,15,0.0720616072,1.73e-08,-2.0732278245727715e-18,9.027879125139992e-40
16,16,0.0699886913,1.8e-09,-2.2120190319704527e-18,9.052444907440624e-40
17,17,0.0679862719,4.1e-09,-2.348652882698584e-18,9.933380416181829e-40
18,18,0.066673542,2.6e-09,-2.48791258813004e-18,1.0277650329429016e-39
19,19,0.0649193168,2e-09,-2.6242385452539556e-18,1.120210537839001e-39
20,20,0.0635852186,2.5e-09,-2.7641942095349458e-18,1.1726834561568789e-39
21,21,0.061972184,1.53e-08,-2.9027964134549027e-18,1.2614633828516753e-39
22,22,0.0605305737,7.1e-09,-3.04250708993982e-18,1.2880591437918703e-39
23,23,0.0589017785,1.9e-09,-3.1823576848804636e-18,1.3136655618685948e-39
24,24,0.0584250747,2.65e-08,-3.31829463436456e-18,1.3910366815040185e-39
25,25,0.0569611582,2.6e-09,-3.454108410786458e-18,1.4736421142154304e-39
26,26,0.0560795317,2.5e-09,-3.595147517070115e-18,1.5108362253353166e-39
27,27,0.0548765418,5.3e-09,-3.7321137516221686e-18,1.5583976446078746e-39
28,28,0.0539197905,2.01e-08,-3.8732863463268624e-18,1.6536282680748955e-39
29,29,0.0529029457,9.2e-09,-4.008636760728619e-18,1.732248610829973e-39
30,30,0.051814356,4e-09,-4.1471895669984885e-18,1.7348609750373637e-39
31,31,0.0509836342,5.1e-09,-4.283817838141145e-18,1.8034509203099436e-39
32,32,0.0502242899,1.55e-08,-4.422523412253111e-18,1.889728920141552e-39
33,33,0.0495847657,1.88e-08,-4.560812796046634e-18,1.8874084266755348e-39
34,34,0.0486106092,6.6e-09,-4.702520901400601e-18,1.957544998992036e-39
35,35,0.0477575408,4.7e-09,-4.83919996084758e-18,2.0199160265022065e-39
36,36,0.0470167959,8.3e-09,-4.976424848859354e-18,2.061891796496044e-39
37,37,0.0461693575,1.173e-07,-5.1137849900431e-18,2.103560568760879e-39
38,38,0.0457094113,1.49e-08,-5.252705134715988e-18,2.247452234950481e-39
39,39,0.0450692463,1.091e-07,-5.391951269436825e-18,2.3440452693500206e-39
40,40,0.0442246426,1.346e-07,-5.529810219771064e-18,2.2763620967743707e-39
41,41,0.0437742685,5.7e-09,-5.670856519042592e-18,2.3210765804160276e-39
42,42,0.0432595824,3.2604e-06,-5.806810538312351e-18,2.4468470979826423e-39
43,43,0.0424279943,6.3e-09,-5.945126409571476e-18,2.4996331231718296e-39
44,44,0.0417533054,3.18e-08,-6.081996199973785e-18,2.5663406250296782e-39
45,45,0.0411021081,6.2e-09,-6.2225459910615986e-18,2.603370876597314e-39
46,46,0.040715724,7.1e-09,-6.363021952992385e-18,2.6386670576008016e-39
47,47,0.0401297278,1.872e-07,-6.498127794999258e-18,2.6824870732753717e-39
48,48,0.039468478,2.84e-08,-6.633262061386771e-18,2.9174926614121067e-39
49,49,0.038934355,2.34e-08,-6.773458033240723e-18,2.949634672310211e-39
50,50,0.0383406545,5.15e-08,-6.911388450288581e-18,2.978146513951585e-39
51,51,0.0378444488,1.7804e-06,-7.050899621467857e-18,2.9620683069331334e-39
52,52,0.0373047786,2.195e-07,-7.188732736042387e-18,3.0927854827825884e-39
53,53,0.0369577346,1.69e-08,-7.327525519489429e-18,3.1909710695856705e-39
54,54,0.0364771285,2.51e-08,-7.463151411476717e-18,3.1938134617998774e-39
55,55,0.0358760182,7.6e-09,-7.604386756561445e-18,3.126534069503352e-39
56,56,0.0354579624,1.25e-08,-7.7432979449612e-18,3.3109154079380846e-39
57,57,0.0351802876,2.35e-08,-7.880138672026493e-18,3.2760105194850244e-39
58,58,0.0344291986,8.1e-09,-8.019818511495619e-18,3.4061142219369145e-39
59,59,0.0339278421,8.2e-09,-8.159057235451285e-18,3.371440972539691e-39
60,60,0.033534496,5.2e-09,-8.296216500247201e-18,3.425893654180431e-39
61,61,0.0331243091,7.2e-09,-8.43532112854217e-18,3.469223952263027e-39
62,62,0.0326736742,6.58e-08,-8.573452853017874e-18,3.4884993489353994e-39
63,63,0.0321858847,2.7073e-06,-8.705684018724245e-18,3.951411557409252e-39
64,64,0.0316673018,4.434e-07,-8.8503106136959e-18,3.684965143319497e-39
65,65,0.0314165118,5.2e-09,-8.990679786835205e-18,3.572326761758209e-39
66,66,0.0310444627,1.18e-08,-9.1258209821248e-18,3.883286146485178e-39
67,67,0.0305534193,1.53e-08,-9.2673489005183e-18,3.850740704606223e-39
68,68,0.0301093147,9.546e-07,-9.398608081604485e-18,4.0510192941863984e-39
69,69,0.0297067371,1.19e-08,-9.542326490567816e-18,4.1132391445759066e-39
70,70,0.0293183465,1.05e-08,-9.682280412733668e-18,3.953847698838421e-39
71,71,0.0289547706,3.7419e-06,-9.810028605028445e-18,4.620653899476961e-39
72,72,0.0284817141,3.74e-08,-9.95720118889462e-18,4.0908988739102655e-39
73,73,0.0284089429,6.57917e-05,-1.0035459090258103e-17,4.52909542941556e-39
74,74,0.0282936661,0.000120675,-1.0125606168889816e-17,4.294457492338034e-39
75,75,0.0282060865,0.0001548307,-1.0205434373614236e-17,4.385802918783337e-39
76,76,0.0282721667,0.0002207517,-1.0291469255797579e-17,4.8181499806066657e-39
77,77,0.0281240731,0.000283545,-1.0374722887646957e-17,4.791072810034848e-39
78,78,0.0280313671,0.000339073,-1.0462041663875927e-17,5.033680254498641e-39
79,79,0.0279286849,0.0004315722,-1.0540533355604974e-17,5.311123477802532e-39
80,80,0.0279229333,0.0004363279,-1.0624614565215989e-17,5.1872324007246594e-39
81,81,0.0278750076,0.0005049556,-1.0703358433544497e-17,5.480960776606085e-39
82,82,0.0277784693,0.000590675,-1.0792372266464413e-17,5.7217776282888605e-39
83,83,0.0277202936,0.0006214734,-1.0879234811478919e-17,5.7506464941036835e-39
84,84,0.0276034141,0.0006842342,-1.0966608519558582e-17,5.4355154021853635e-39
85,85,0.0275729112,0.000652207,-1.1057942221824308e-17,5.756576988293604e-39
86,86,0.0275038101,0.0007978798,-1.1128779764383921e-17,6.377349508368848e-39
87,87,0.0274863536,0.0007485531,-1.1219180271976961e-17,6.379302628123105e-39
88,88,0.027377381,0.0008634145,-1.1301135402931069e-17,6.315056448601897e-39
