macrostate,P_up,P_down,term_1,term_2
0,0.066230050211,0.0,0.0,0.0
1,0.041888441942,1.2336880214000001e-11,-1.4136675187861358e-19,6.733598555326466e-41
2,0.031888887578,2.3348795410999998e-11,-2.8718736170397694e-19,1.2859842533858732e-40
3,0.026535126572,1.847856327e-11,-4.2753355569620236e-19,1.931055018692714e-40
4,0.022853922000000002,1.5785209893e-10,-5.756025292404101e-19,2.7829480124252997e-40
5,0.020402888296,2.5783286362000003e-10,-7.142928307499672e-19,3.43443249060742e-40
6,0.018428541561,8.899174315400001e-10,-8.546000832396259e-19,4.426861928935251e-40
7,0.016778804192,3.5704280856e-11,-1.0029229049419304e-18,4.730286071721643e-40
8,0.015535258646,4.5758015853999996e-11,-1.1455239892166016e-18,5.735895235356621e-40
9,0.014428921383,4.4622767276e-11,-1.2837838167728653e-18,6.069138758692531e-40
10,0.013486480667,4.171701691800001e-09,-1.4378871612629436e-18,6.686732262050298e-40
11,0.012416213262,1.7957477609e-09,-1.5847472044820218e-18,7.596190434630918e-40
12,0.011690625658,8.5048555886e-11,-1.723512831943102e-18,8.058176587513641e-40
13,0.011096519911,2.4345766906999998e-11,-1.8648450688477333e-18,9.390762162881181e-40
14,0.010257225671,1.7771449505e-11,-2.0217974259894566e-18,9.77026371417394e-40
15,0.0097353218933,3.4564705119e-11,-2.1670452174621785e-18,1.009131744932183e-39
16,0.0091080998849,1.4801065875e-10,-2.3043851867011154e-18,1.043680505814771e-39
17,0.0086439554775,6.3652693952e-11,-2.4575653649687223e-18,1.1691487696153002e-39
18,0.0080866678872,7.3339946347e-11,-2.600086689369069e-18,1.2529906345606679e-39
19,0.0074651826828999995,1.1404347250999999e-10,-2.7446647537715112e-18,1.3098258712252385e-39
20,0.0071562221632,1.1050548094999999e-10,-2.892550721561208e-18,1.2976723719421304e-39
21,0.006678647256699999,1.2344067544000002e-09,-3.03356467601967e-18,1.653306940635959e-39
22,0.0063049609663,4.599583606800001e-11,-3.1846514741336368e-18,1.4483442502493357e-39
23,0.005834841842199999,2.4473804191e-11,-3.3323496124315486e-18,1.57829481234401e-39
24,0.005421052936,2.5892693029000003e-11,-3.480151712994749e-18,1.5926703185338996e-39
25,0.0053704469594999995,1.2550948901e-06,-3.566437042432055e-18,1.6471302558033782e-39
26,0.0052198576724,3.2393131478e-06,-3.650596247557968e-18,1.7456889486635135e-39
27,0.005240385206300001,6.1443405094e-05,-3.733705782754959e-18,2.0699152352520357e-39
28,0.005214787316600001,0.0003850418672,-3.808910406696497e-18,2.1532503458953417e-39
29,0.0052534857982,0.00015338726938999997,-3.9025158202317905e-18,2.2845896425251217e-39
30,0.0049592982777,0.00021386904993,-3.983195681471777e-18,2.2425983391257263e-39
31,0.004769402955,0.00024449798877,-4.070103522091703e-18,2.4296074945360963e-39
